Word, ClassId, ClassName
"bank", 0, "බැංකුව "
"bank", 1, "ඉවුර"
"bank", 2, "තැන්පත් කරනවා"
"mine", 0, "මගේ"
"mine", 1, "පතල"
"mine", 2, "බිම් බෝම්බ"
"mine", 3, "කැණීම"
"mine", 4, "විශාල (තොරතුරු)"
"a", 0, "අනියමාර්ථ විශේෂණය "
"abaca", 0, "පිලිපීනයේ ගසක  විශේෂයක් "
"aback", 0, "පසුපසට "
"aback", 1, "විස්මයට "
"abacus", 0, "ගණක රාමුව "
"abaft", 0, "පසුපසින්"
"abandon", 0, "අත්හරිනවා "
"abandoned", 0, "අත්හළ "
"abandonment", 0, "අත්හැර දැමීම "
"abase", 0, "පහතට හෝ යටතට හෝ අවමානයට හෝ පමුණුවනවා "
"abasement", 0, "අවමන් කිරීම "
"abash", 0, "ලජ්ජාවට නොහොත් චකිතයට පත් කරනවා "
"abate", 0, "අඩු කරනවා "
"abated", 0, "අඩු වූ "
"abate-jour", 0, "වීදුරු වහල "
"abatement", 0, "අඩු කිරීම "
"abattoir", 0, "සතුන් මරන තැන "
"abbacy", 0, "තාපසාරාමයෙහි අධිපතිකම "
"abbess", 0,  "කන්‍යාරාමාධිපතිනිය "
"abbey", 0, "තාපසාරාමය "
"abbot", 0, "තාපසාරාමයේ අධිපතියා "
"abbreviate", 0, "සංක්ෂිප්ත කරනවා "
"abbreviated", 0, "සංක්ෂිප්ත "
"abbreviation", 0, "කෙටි යෙදුම "
"abdicate", 0, "නිලය අත්හරිනවා "
"abdication", 0, "නිලය අත්හැරීම "
"abdomen", 0, "උදරය "
"abdominal", 0, "උදර "
"abduct", 0, "පැහැර ගෙන යනවා "
"abduction", 0, "පැහැර ගෙන යෑම "
"abduction", 0, "බලහත්කාරයෙන් ගෙන යෑම "
"abductor", 0, "පැහැර ගෙන යන්නා "
"abeam", 0, "ගුවන් නැවක දික්භාගයට ලම්බාකාරව පිහිටි "
"abed", 0, "ඇඳෙහි "
"abele", 0, "සුදු පොප්ලර් "
"aberrant", 0, "නොමග යන "
"aberration", 0, "නොමග යාම "
"abet", 0, "වරදට පොළඹවනවා "
"abetment", 0, "වරදට පෙළඹවීම "
"abettor", 0, "වරදට පොළඹවන්නා "
"abeyance", 0, "තාවකාලික නැවැත්වීම "
"abeyant", 0, "තාවකාලිකව නැවැත්වූ "
"abhor", 0, "අප්‍රිය කරනවා "
"abhorrence", 0, "දැඩි පිළිකුල "
"abhorrent", 0, "දැඩි පිළිකුල් සහගත "
"abhorrent", 0, "නුරුස්නා "
"abhorrer", 0, "පිළිකුල් කරන්නා "
"abiding", 0, "ස්ථීර "
"ability", 0, "හැකියාව "
"abject", 0, "අධම "
"abjection", 0, "පහත්කම "
"abjectly", 0, "නීච ලෙස "
"abjectness", 0, "පහත්කම "
"abjuration", 0,  "ප්‍රතික්ෂේප කිරීම "
"abjure", 0,  "දිවුරා ප්‍රතික්ෂේප කරනවා "
"ablate", 0, "ඛාදනය හෝ වාෂ්ප වෙනවා "
"ablation", 0, "ගෙවීයෑම "
"ablative", 0, "අවධි විභක්තිය "
"ablaut", 0, "ස්වර අනම්‍යය "
"ablaze", 0, "ඇවිළුණු "
"able", 0, "සමත් "
