Sentence,Type,Word
"It was safer to leave him in the mine.", 1, "mine"
"It was a gold mine, wasn't it?", 1, "mine"
"So I say the horses and chickens are mine and Alex says the other animals are his.", 0, "mine"
"You may bring mine with you.", 0, "mine"
"You see, when you die, you have your heaven and I have mine.", 0, "mine"
"Mine is a very brutal world, he said.", 0, "mine"
"Let him have mine, he has a long way to go!", 0, "mine"
"You're no brother of mine, Darian.", 0, "mine"
"You're mine either way.", 0, "mine"
"Which one is mine?.", 0, "mine"
"It's your money, not mine.", 0, "mine"
"The mine sits on a few hundred acres old man Dawkins owned.", 1, "mine"
"Whose goals are we talking about here, mine or yours?", 0, "mine"
"He filled Fred in on meeting Jennifer Radisson, their afternoon trip to the mine, and the discovery of a back entrance.", 1, "mine"
"Dean had no stomach for going any deeper than necessary and the water from the mine seepage was getting deeper.", 1, "mine"
"Then I'll get mine fixed.", 0, "mine"
"The principal mine in New South Wales is situated at Kingsgate, in the New England district, where the mineral is generally associated with molybdenum and gold.", 1, "mine"
"I don't even know where that mine situated.", 1, "mine"
"I created an army of vamps Eden used to overthrow her enemies while I overthrew mine.", 0, "mine"
"Here, have a sip of mine.", 0, "mine"
"The mine was sealed, a new metal door and padlock in place where the gaping opening had welcomed the Deans two days before.", 1, "mine"
"I want to explore mine first!", 0, "mine"
"I thought I was marrying a man who had chosen a lifestyle compatible with mine.", 0, "mine"
"I held both her hands in mine.", 0, "mine"
"I don't mind trying to make your day as good as you make mine.", 0, "mine"
"What was once mine is now ours.", 0, "mine"
"Humphries is out of the system, according to a friend of mine.", 0, "mine"
"The honor is mine.", 0, "mine"
"I see your thoughts like mine.", 0, "mine"
"In New South Wales the principal centre of this industry is Hillgrove, near Armidale, where Other the Eleanora Mine, one of the richest in the state, is minerals.", 1, "mine"
"Tomorrow, she's mine, Memon ordered, and rose.", 0, "mine"
"Which one of you is mine?", 0, "mine"
"The ones where you tell me you're mine.", 0, "mine"
"David is going to find out who the guy in the mine is.", 1, "mine"
"The mine workings may also be flooded Flooding of by large bodies of underground water.", 1, "mine"
"The more important mines are those of Cobar, where the Great Cobar mine produces annually nearly 4000 tons of refined copper.", 1, "mine"
"You really are mine.", 0, "mine"
"I only see other people's fates, not mine.", 0, "mine"
"It could be a gold mine.", 1, "mine"
"By using compressed air vitiation of the mine air is avoided, as well as all danger of fire or explosion of gas.", 1, "mine"
"First off, I'm going to find out who owns that mine.", 1, "mine"
"My grandmother is a mine of information about our family's history.", 4, "mine"
"His works, now lost, were written in an attractive style and proved a mine of information to later writers.", 4, "mine"
"Let's hear your reasoning—then I'll tell you mine.", 0, "mine"
"Mine fires may sometimes be reached by bore-holes sunk for the purpose from the surface, and the burning workings below filled by flushing with culm and water.", 1, "mine"
"He might not have known whose trail out of the tunnel he was sabotaging—just some trespasser in his precious mine.", 1, "mine"
"Dawkins owns that mine!", 1, "mine"
"Just like we were skirting the trespass law by poking around the mine.", 1, "mine"
"In 1845 the celebrated Burra Burra mine was discovered.", 1, "mine"
"It was found in a mine.", 1, "mine"
"The time frame was right for it to be the body of Senior Dawkins's mine manager, slain there in 1961.", 1, "mine"
"It was the first real words the two had exchanged since their meeting at the mine.", 1, "mine"
"We had no business up at the mine.", 1, "mine"
"If there were remains of a man in that mine, I would think you'd want to know who he was.", 1, "mine"
"After all, someone tried to get us lost in that mine and sabotaged our Jeep.", 1, "mine"
"It wouldn't be very smart to leave the body in your own mine property.", 1, "mine"
"There is a coal mine at Daling.", 1, "mine"
"Someone had a campfire and it looked as if the door on the mine was used for fire wood.", 1, "mine"
"Let's say the mine was closed up for years and only recently broken into.", 1, "mine"
"Or, sweet Edith wasn't so sweet and bashed Josh's head in and left him in the mine.", 1, "mine"
"An exceptionally rich copper mine exists at Arghana Maden, but it is very imperfectly worked, galena mineral oil and silicious sand are also found.", 1, "mine"
"You think the boy might not be mine?", 0, "mine"
"On the 30th of July the Federal engineers exploded a mine under the hostile works, and Burnside's corps rushed to the assault.", 1, "mine"
"The mine was sealed up for years.", 1, "mine"
"Joseph asked Fred for a marker and cardboard and began making No Trespassing signs, signifying he planned a visit to the mine later.", 1, "mine"
"Twenty-four hours after his hour-long downhill hike from the mine, Dean's stilts felt like he'd run a barefoot marathon on cobblestoned streets.", 1, "mine"
"Mary & Joe Foreman were friends of mine.", 0, "mine"
"It's a habit of mine, you know - watching after you.", 0, "mine"
"Except that you're here to take something of mine.", 0, "mine"
"Another old mine, discovered in 1853, is the New Idria located another 100 to.", 1, "mine"
"Mansr closed the door as another mine exploded and guided the spacecraft farther off the ground.", 2, "mine"
"Belgium imports nearly all of its ore, while Sweden and Spain export most of the ore which they mine.", 3, "mine"
"This work is a mine of varied exegetical and philological details.", 4, "mine"
"The Levant mine is the chief, the workings extending beneath the sea.", 1, "mine"
