Sentence,Type,Word
"An occasional sharp high bark soon revealed the source as a little gray squirrel.", 10, "bark"
"Some climb trees and feed on leaves, while others tunnel between bark and wood.", 10, "bark"
"He turned his attention to the fire and tucked another piece of bark into the bright coals.", 10, "bark"
"A huge white sycamore skeleton sprawled on the gravel beach, its bark long gone.", 10, "bark"
"Occasionally he would stand and bark.", 9, "bark"
"They shelter in crevices of the bark of trees, in the dried stems of herbaceous plants, or among moss and fallen leaves on the ground.", 10, "bark"
"The bark, resin and oils of the eucalyptus are well known as commercial products.", 10, "bark"
"I will eat tree bark.", 10, "bark"
"Dogs left alone to bark for long periods may be a noise nuisance to people living nearby.", 9, "bark"
"They can be important predators of insect pests, such as aphids, scale insects and bark beetle larvae.", 10, "bark"
"I had some difficulty in holding on, for the branches were very large and the bark hurt my hands.", 10, "bark"
"In the course of the summer I had discovered a raft of pitch pine logs with the bark on, pinned together by the Irish when the railroad was built.", 10, "bark"
"When the bark has been removed a period of from three to four years must elapse before it is so fully renewed as to render fresh incisions possible.", 10, "bark"
"He then slices off the outer layer of the bark to the height of 4 or 5 ft.", 10, "bark"
"The natural products of Peru include rubber, cabinet woods in great variety, cinchona or Peruvian bark and other medicinal products, various fibres, and guano.", 10, "bark"
"The export of cinchona, or Peruvian bark, is not important in itself, being only 64 tons, valued at £1406 in 1905.", 10, "bark"
"The best bark comes from the Carabaya district in southeastern Peru, but it is found in many localities on the eastern slopes of the Andes.", 10, "bark"
"The Peruvian supply is practically exhausted through the destructive methods employed in collecting the bark, and the world now depends chiefly on Bolivia and Ecuador.", 10, "bark"
"In addition to their use for timber or basket-making, willows contain a large quantity of tannin in their bark.", 10, "bark"
"A valuable medicinal glucoside named salicin (q.v.) is also extracted from the bark.", 10, "bark"
"They lay their parthenogenetically produced eggs in the angles of the veins of the leaves, in the buds, or, if the season is already far advanced, in the bark.", 10, "bark"
"From the forests are obtained rubber, copal, bark, various kinds of fibre, and timber (teak, mahogany, &c.).", 10, "bark"
"They are mainly nocturnal, and subsist chiefly on bark and twigs or the roots of water plants.", 10, "bark"
"Beavers also gnaw the bark of birch, poplar and willow trees; but during the summer a more varied herbage, with the addition of berries, is consumed.", 10, "bark"
"The roofs were thatched with bark, straw, reeds or rushes.", 10, "bark"
"Coccus pinicorticis causes the growth of patches of white flocculent and downy matter on the smooth bark of young trees of the white pine in America.", 10, "bark"
"The chief tree which has commercial value is the cork, and the stripping of the bark is under official supervision.", 10, "bark"
"The bark itself is used in tanning; and by the Samoiedes and Kamchatkans it is ground up and eaten on account of the starchy matter it contains.", 10, "bark"
"The whole tree, but especially the bark and leaves, has a very pleasant resinous odour, and from the young leaves and buds an essential oil is distilled with water.", 10, "bark"
"Their usual food consists of water-plants and bark, but in cultivated districts they do much harm to crops.", 10, "bark"
"In the prevalent European varieties the bark is reddish-grey, and rather rough and scarred in old trees, which are often much lichen-covered.", 10, "bark"
"Try adding crushed canes to brownies, or to chocolate sandwich cookies coated in almond bark.", 10, "bark"
"Do not whittle the bark down if you are having trouble fitting it into the stand.", 10, "bark"
"Just a dirty old shack, Where the hound dogs bark, That we called our home.", 9, "bark"
"Creole dogs, he concluded, were not only ugly, but they had also unlearned how to bark.", 9, "bark"
"I was pleased with anything that made a noise and liked to feel the cat purr and the dog bark.", 9, "bark"
"A small dog began to bark.", 9, "bark"
"We would all like our dogs to bark when we need to be alerted to strangers and other kinds of hazards, but it's important to teach your dog to stop barking when you tell him to.", 9, "bark"
"When you are training on leash, use your choke collar as a no bark training method on your dog.", 9, "bark"
"Some dogs just love to sing; often these dogs do not even bark and appear to be quiet in nature.", 9, "bark"
"The dogs may bark and become excited when they meet people, but they should not be spinning in their kennels or exhibiting other signs of mental distress.", 9, "bark"
"Although dogs mainly bark to communicate, there are bound to be times when you have run through everything and you still can not tell what your dog wants.", 9, "bark"
"The dog learns to not bark in order to avoid the unpleasant sensation.", 9, "bark"
"Dogs learn to not bark in order to avoid smelling the lemon scent at close range.", 9, "bark"
"The spray is triggered only by the collared dog's bark and not other dogs barking or surrounding noises.", 9, "bark"
"Dogs can easily drink, eat, pant, bark or fetch while wearing the collar.", 9, "bark"
"Socialization can also help the dog get comfortable with strangers and not bark excessively at strangers as an adult.", 9, "bark"
"And finally, sometimes a dog will bark outside of your house, causing your pup to start howling.", 9, "bark"
"Available charms include cowboy boot, Gucci emblem dog tag, bamboo design bark and the iconic Gucci double G emblem.", 9, "bark"
"For example, the instructor might encourage the children to meow during the Cat Pose or bark like a dog while performing the Downward Facing Dog.", 9, "bark"
"It was safer to leave him in the mine.", 1, "mine",
"It was a gold mine, wasn't it?", 1, "mine"
"So I say the horses and chickens are mine and Alex says the other animals are his.", 0, "mine"
"You may bring mine with you.", 0, "mine"
"You see, when you die, you have your heaven and I have mine.", 0, "mine"
"Mine is a very brutal world, he said.", 0, "mine"
"Let him have mine, he has a long way to go!", 0, "mine"
"You're no brother of mine, Darian.", 0, "mine"
"You're mine either way.", 0, "mine"
"Which one is mine?.", 0, "mine"
"It's your money, not mine.", 0, "mine"
"The mine sits on a few hundred acres old man Dawkins owned.", 1, "mine"
"Whose goals are we talking about here, mine or yours?", 0, "mine"
"He filled Fred in on meeting Jennifer Radisson, their afternoon trip to the mine, and the discovery of a back entrance.", 1, "mine"
"Dean had no stomach for going any deeper than necessary and the water from the mine seepage was getting deeper.", 1, "mine"
"Then I'll get mine fixed.", 0, "mine"
"The principal mine in New South Wales is situated at Kingsgate, in the New England district, where the mineral is generally associated with molybdenum and gold.", 1, "mine"
"I don't even know where that mine situated.", 1, "mine"
"I created an army of vamps Eden used to overthrow her enemies while I overthrew mine.", 0, "mine"
"Here, have a sip of mine.", 0, "mine"
"The mine was sealed, a new metal door and padlock in place where the gaping opening had welcomed the Deans two days before.", 1, "mine"
"I want to explore mine first!", 0, "mine"
"I thought I was marrying a man who had chosen a lifestyle compatible with mine.", 0, "mine"
"I held both her hands in mine.", 0, "mine"
"I don't mind trying to make your day as good as you make mine.", 0, "mine"
"What was once mine is now ours.", 0, "mine"
"Humphries is out of the system, according to a friend of mine.", 0, "mine"
"The honor is mine.", 0, "mine"
"I see your thoughts like mine.", 0, "mine"
